Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
The Network,Cristobal Tapia De Veer,canadian soundtrack,0.484,0.854,0.577,0.127,-11.931,0.705,0.075,0.357,179.964
Dislocated Thumbs Part 1,Cristobal Tapia De Veer,canadian soundtrack,0.478,0.443,0.553,0.471,-9.811,0.885,0.261,0.0867,177.755
Mr. Rabbit's Game,Cristobal Tapia De Veer,canadian soundtrack,0.749,0.335,0.667,0.958,-9.501,0.73,0.0423,0.535,110.683
Conspiracy Part 1,Cristobal Tapia De Veer,canadian soundtrack,0.317,0.5,0.423,0.0864,-13.903,0.815,0.0553,0.0974,147.76
Meditative Chaos,Cristobal Tapia De Veer,canadian soundtrack,0.0299,0.902,0.147,0.0345,-19.554,0.97,0.038,0.0974,84.078
A New Brand of Drug,Cristobal Tapia De Veer,canadian soundtrack,0.276,0.979,0.649,0.0383,-15.293,0.926,0.0485,0.0907,120.025
Samba De Wilson,Cristobal Tapia De Veer,canadian soundtrack,0.734,0.484,0.67,0.434,-10.531,0.823,0.081,0.0765,170.096
Slivovitz,Cristobal Tapia De Veer,canadian soundtrack,0.45,0.829,0.504,0.576,-14.471,0.47,0.312,0.123,170.553
Bekki on Pills Part 1,Cristobal Tapia De Veer,canadian soundtrack,0.424,0.904,0.602,0.0367,-11.912,0.0568,0.0679,0.0714,71.032
Where Is Jessica Hyde? Part 1,Cristobal Tapia De Veer,canadian soundtrack,0.201,0.874,0.214,0.036,-16.559,0.844,0.0388,0.147,76.651
Arby's Oratorio,Cristobal Tapia De Veer,canadian soundtrack,0.141,0.95,0.167,0.0362,-25.535,0.939,0.0422,0.068,111.897
Jessica Gets Off,Cristobal Tapia De Veer,canadian soundtrack,0.373,0.885,0.272,0.0392,-12.624,0.923,0.0359,0.107,116.685
Mr. Rabbit It Is,Cristobal Tapia De Veer,canadian soundtrack,0.401,0.842,0.709,0.691,-10.223,0.92,0.11,0.0981,162.186
Lovechild,Cristobal Tapia De Veer,canadian soundtrack,0.294,0.912,0.911,0.811,-12.23,0.734,0.469,0.357,112.476
Mind Vortex,Cristobal Tapia De Veer,canadian soundtrack,0.326,0.955,0.331,0.0326,-13.815,0.944,0.0333,0.104,66.963
Twat,Cristobal Tapia De Veer,canadian soundtrack,0.0881,0.954,0.126,0.0371,-23.294,0.424,0.0462,0.143,70.178
Bekki on Pills Part 2,Cristobal Tapia De Veer,canadian soundtrack,0.362,0.866,0.357,0.0598,-11.354,0.73,0.035,0.11,115.276
Fertility Control,Cristobal Tapia De Veer,canadian soundtrack,0.238,0.452,0.33,0.0383,-19.823,0.0101,0.0364,0.115,64.522
Janus Saves,Cristobal Tapia De Veer,canadian soundtrack,0.419,0.772,0.334,0.0838,-13.251,0.553,0.0477,0.168,111.024
Evil Prevails,Cristobal Tapia De Veer,canadian soundtrack,0.484,0.718,0.432,0.287,-11.689,0.858,0.0511,0.0975,130.92
Conspiracy Part 2,Cristobal Tapia De Veer,canadian soundtrack,0.383,0.795,0.428,0.0397,-11.919,0.858,0.0429,0.175,72.59
Dislocated Thumbs Part 2,Cristobal Tapia De Veer,canadian soundtrack,0.231,0.946,0.825,0.47,-16.896,0.858,0.0801,0.168,99.952
Utopia Descent,Cristobal Tapia De Veer,canadian soundtrack,0.284,0.666,0.306,0.107,-12.865,0.949,0.0626,0.113,83.588
Where Is Jessica Hyde? Part 2,Cristobal Tapia De Veer,canadian soundtrack,0.12,0.921,0.217,0.0322,-19.112,0.764,0.0403,0.11,135.666
Utopia's Death Cargo,Cristobal Tapia De Veer,canadian soundtrack,0.41,0.595,0.462,0.428,-13.389,0.949,0.0355,0.0781,82.969
The Experiment,Cristobal Tapia De Veer,canadian soundtrack,0.269,0.855,0.112,0.0326,-15.191,0.829,0.0427,0.146,175.413
Utopia Finale,Cristobal Tapia De Veer,canadian soundtrack,0.769,0.142,0.462,0.0928,-8.803,0.631,0.0856,0.178,171.927
Canción para el Resto de los Días,Ricardo Pita,ecuadorian indie,0.624,0.671,0.676,0.664,-3.76,2.63e-06,0.0313,0.128,116.872
Un fiore per coltello,L'Officina Della Camomilla,"italian indie pop,milan indie",0.732,0.372,0.499,0.573,-9.326,4.83e-06,0.0372,0.201,111.896
Exploradora,Elsa y Elmar,"colombian indie,colombian pop,latin pop,r&b en espanol",0.392,0.352,0.443,0.136,-10.498,0.0886,0.0321,0.212,170.057
Live This One,Pj Sin Suela,"reggae en espanol,urbano latino",0.62,0.449,0.676,0.698,-8.088,0,0.356,0.0978,174.049
Luz,Charlie Rodd,"mexican indie,monterrey indie",0.945,0.0252,0.642,0.795,-5.718,1.66e-06,0.0477,0.107,126.987
Can't Keep,Eddie Vedder,"acoustic rock,permanent wave,rock",0.569,0.927,0.566,0.488,-7.101,0.0597,0.0392,0.0818,108.87
Sleeping By Myself,Eddie Vedder,"acoustic rock,permanent wave,rock",0.363,0.941,0.591,0.49,-8.993,0,0.0306,0.138,104.434
Without You,Eddie Vedder,"acoustic rock,permanent wave,rock",0.391,0.969,0.704,0.248,-10.701,0.451,0.0478,0.107,116.951
